replication,scenario,horizon,loss,har_mean_loss,harp_mean_loss,loss_ratio_harp_over_har,dm_mean_differential_harp_minus_har,dm_bandwidth,dm_hln_factor,dm_statistic,dm_p_value_two_sided,dm_rejection_direction,har_qlike_floor_count,harp_qlike_floor_count,har_qlike_floor_fraction,harp_qlike_floor_fraction,qlike_numerically_valid,oos_forecasts,disclaimer
0,no_periodicity,1,MSE,8.8027252971100729e-10,8.8063651135486367e-10,1.0004134874502739,3.6398164385641183e-13,5,0.99899949949937417,0.32727775047430813,0.74345781919425391,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
0,no_periodicity,1,QLIKE,0.047066197700449751,0.047081493842576164,1.0003249920935564,1.5296142126419277e-05,5,0.99899949949937417,0.29979311689511035,0.76433496590901984,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
0,no_periodicity,5,MSE,3.6421103530317238e-10,3.6516899822293613e-10,1.0026302413351269,9.5796291976369021e-13,5,0.99099949545900379,0.8498603567782389,0.39540272826316891,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
0,no_periodicity,5,QLIKE,0.021573009796631317,0.021605899220532802,1.0015245635269039,3.288942390148053e-05,5,0.99099949545900379,0.64747716511738185,0.51732316863532635,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
0,no_periodicity,22,MSE,2.7429366215217967e-10,2.7648695264215436e-10,1.007996139877114,2.1932904899747108e-12,21,0.95699947753381764,1.6694681676569789,0.095024633872206068,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
0,no_periodicity,22,QLIKE,0.018109486635302544,0.018195061938834124,1.0047254406077286,8.5575303531579828e-05,21,0.95699947753381764,1.2552213689441378,0.20939841029678435,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
0,u_shaped_periodicity,1,MSE,9.8771515960527864e-10,9.6819873467394823e-10,0.98024083690369823,-1.9516424931330408e-11,5,0.99899949949937417,-2.7987770625769062,0.0051296540446522584,HARP,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
0,u_shaped_periodicity,1,QLIKE,0.051538296669775698,0.050527296505944563,0.98038351615869312,-0.0010110001638311279,5,0.99899949949937417,-2.8938051246000853,0.0038060429689772174,HARP,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
0,u_shaped_periodicity,5,MSE,4.0594092268913606e-10,3.9520269902735784e-10,0.9735473241016368,-1.0738223661778219e-11,5,0.99099949545900379,-2.0956245181226145,0.036115512495645201,HARP,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
0,u_shaped_periodicity,5,QLIKE,0.023655959080062173,0.023062823554052338,0.97492659147733551,-0.00059313552600983319,5,0.99099949545900379,-2.0899757655237425,0.036619976730417836,HARP,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
0,u_shaped_periodicity,22,MSE,2.8014134641232835e-10,2.7676012681596933e-10,0.98793030861148801,-3.3812195963590759e-12,21,0.95699947753381764,-0.57422116926693922,0.56581814584860091,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
0,u_shaped_periodicity,22,QLIKE,0.018222755689329486,0.017963958307563067,0.98579812042818749,-0.00025879738176641753,21,0.95699947753381764,-0.82174084768307454,0.41122440589692771,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
1,no_periodicity,1,MSE,1.5856045737056964e-09,1.5843782337814967e-09,0.99922657896897105,-1.2263399241998378e-12,5,0.99899949949937417,-0.63336911598463297,0.52649262821527154,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
1,no_periodicity,1,QLIKE,0.047945967317179441,0.047936783968786444,0.99980846463411099,-9.1833483929990576e-06,5,0.99899949949937417,-0.17650030051198085,0.85990091261313018,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
1,no_periodicity,5,MSE,7.4749417153335353e-10,7.46696475826111e-10,0.99893284023124063,-7.9769570724240577e-13,5,0.99099949545900379,-0.80054000128703839,0.42339799712916037,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
1,no_periodicity,5,QLIKE,0.022663620366959097,0.022646088981662916,0.99922645256969889,-1.7531385296182477e-05,5,0.99099949545900379,-0.60236462872785446,0.54693144943005279,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
1,no_periodicity,22,MSE,4.8292505077026498e-10,4.833102692212801e-10,1.0007976775079295,3.8521845101520553e-13,21,0.95699947753381764,0.4017015377172603,0.68790369271010099,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
1,no_periodicity,22,QLIKE,0.014317308023723592,0.014342899929087875,1.0017874802527038,2.5591905364284796e-05,21,0.95699947753381764,1.0002107041554229,0.31720855013121096,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
1,u_shaped_periodicity,1,MSE,1.6965063521927343e-09,1.6858827710894938e-09,0.99373796562004646,-1.0623581103240518e-11,5,0.99899949949937417,-0.90770079174642571,0.36403632553841708,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
1,u_shaped_periodicity,1,QLIKE,0.051834399304037458,0.051562154098039832,0.99474778892679439,-0.00027224520599762505,5,0.99899949949937417,-0.84234070702691066,0.39959727163820058,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
1,u_shaped_periodicity,5,MSE,7.7395276322641487e-10,7.6579028956000573e-10,0.98945352474435022,-8.16247366640912e-12,5,0.99099949545900379,-0.91952774450882857,0.35781960061996526,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
1,u_shaped_periodicity,5,QLIKE,0.023786249654334339,0.023582865543325532,0.99144950910864815,-0.00020338411100880727,5,0.99099949545900379,-0.80497080686045408,0.42083652626542906,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
1,u_shaped_periodicity,22,MSE,4.9116064007704789e-10,4.9742670401516384e-10,1.0127576670987581,6.2660639381159744e-12,21,0.95699947753381764,0.76565090396100344,0.44388404719240443,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
1,u_shaped_periodicity,22,QLIKE,0.014792148577344759,0.014927932662884455,1.0091794700972421,0.00013578408553969901,21,0.95699947753381764,0.62438442354936974,0.53237515213002506,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
2,no_periodicity,1,MSE,1.2527069217492757e-09,1.254491305846821e-09,1.0014244226375419,1.7843840975451667e-12,5,0.99899949949937417,1.5387647160105906,0.12386174667226287,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
2,no_periodicity,1,QLIKE,0.050097652179635452,0.050159193524575249,1.0012284277258967,6.1541344939791017e-05,5,0.99899949949937417,1.2560424677332374,0.20910057330292861,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
2,no_periodicity,5,MSE,5.677762272267879e-10,5.6960035372509589e-10,1.0032127560310471,1.8241264983079534e-12,5,0.99099949545900379,1.9029091824076134,0.057052396604208723,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
2,no_periodicity,5,QLIKE,0.024105395325468154,0.024165782498681114,1.002505131004807,6.0387173212957727e-05,5,0.99099949545900379,1.6236215984374711,0.10445659294885103,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
2,no_periodicity,22,MSE,5.0128903151855622e-10,5.0316803894159654e-10,1.0037483513599894,1.8790074230403516e-12,21,0.95699947753381764,1.3143996671311204,0.18871174243796124,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
2,no_periodicity,22,QLIKE,0.021204313475904166,0.021283101707717363,1.0037156700169862,7.8788231813196058e-05,21,0.95699947753381764,1.3506348638379617,0.17681242698189453,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
2,u_shaped_periodicity,1,MSE,1.2802716921488898e-09,1.2775432269237583e-09,0.9978688389020367,-2.7284652251313768e-12,5,0.99899949949937417,-0.32235036368149894,0.74718728288930192,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
2,u_shaped_periodicity,1,QLIKE,0.050894529967145864,0.05094146580400407,1.0009222177096144,4.6935836858204462e-05,5,0.99899949949937417,0.14016084004532661,0.88853291153969183,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
2,u_shaped_periodicity,5,MSE,5.8330753273970758e-10,5.8219992913507391e-10,0.99810116697888085,-1.1076036046337203e-12,5,0.99099949545900379,-0.15392463348626118,0.87766916085236457,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
2,u_shaped_periodicity,5,QLIKE,0.024882654335986729,0.024931384129748154,1.0019583840655999,4.8729793761421284e-05,5,0.99099949545900379,0.17619509368477904,0.86014067516280202,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
2,u_shaped_periodicity,22,MSE,5.0173165797755088e-10,5.0013098732011511e-10,0.99680970767543753,-1.6006706574358606e-12,21,0.95699947753381764,-0.13510534616719974,0.89252858330687146,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
2,u_shaped_periodicity,22,QLIKE,0.021631824693882321,0.021379603621813442,0.9883402775476352,-0.00025222107206888288,21,0.95699947753381764,-0.68090788396242652,0.49592977915037489,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
3,no_periodicity,1,MSE,1.5268611135406896e-09,1.5249955499489146e-09,0.99877817073522235,-1.8655635917750443e-12,5,0.99899949949937417,-1.0876891205717438,0.27673237219594637,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
3,no_periodicity,1,QLIKE,0.050938122106597192,0.050909141244871177,0.99943105751591377,-2.8980861726001896e-05,5,0.99899949949937417,-0.6198308623807981,0.53536914755907539,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
3,no_periodicity,5,MSE,6.6197691712974423e-10,6.6060975470846909e-10,0.99793472795516347,-1.3671624212752043e-12,5,0.99099949545900379,-1.3331866354548507,0.18247056401793371,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
3,no_periodicity,5,QLIKE,0.023905968252708923,0.023870286616648913,0.9985074172406313,-3.5681636060007628e-05,5,0.99099949545900379,-0.95683899112262749,0.33864852856160799,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
3,no_periodicity,22,MSE,5.5878381611574406e-10,5.5877790793700163e-10,0.999989426718219,-5.9081787424233483e-15,21,0.95699947753381764,-0.005898814130133604,0.9952934545733686,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
3,no_periodicity,22,QLIKE,0.020130766617008165,0.020136779499534518,1.0002986911845311,6.0128825263552346e-06,21,0.95699947753381764,0.13382195100451658,0.89354336892930064,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
3,u_shaped_periodicity,1,MSE,1.604125455649587e-09,1.5915606310575243e-09,0.99216718084747635,-1.2564824592062512e-11,5,0.99899949949937417,-0.88622622356582748,0.37549563535650626,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
3,u_shaped_periodicity,1,QLIKE,0.052959183302457351,0.052516878794916282,0.99164819999177467,-0.00044230450754107099,5,0.99899949949937417,-1.1663935459662891,0.24345536677362653,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
3,u_shaped_periodicity,5,MSE,6.8806750905089313e-10,6.722784066222598e-10,0.97705297485938192,-1.5789102428633529e-11,5,0.99099949545900379,-1.9187325534064099,0.055018189455702457,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
3,u_shaped_periodicity,5,QLIKE,0.024775175903977108,0.024146643651948418,0.97463056349368671,-0.00062853225202868937,5,0.99099949545900379,-1.9041744450373421,0.056887468755765509,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
3,u_shaped_periodicity,22,MSE,5.7706334318392246e-10,5.620030464637651e-10,0.97390183088556137,-1.5060296720157446e-11,21,0.95699947753381764,-1.7747136560466308,0.075945179322118181,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
3,u_shaped_periodicity,22,QLIKE,0.020636855632977801,0.019911245461660863,0.96483911191599314,-0.00072561017131693895,21,0.95699947753381764,-2.0161506358047832,0.043784226522927336,HARP,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
4,no_periodicity,1,MSE,1.8961707836695877e-09,1.8968848111043398e-09,1.0003765628290984,7.1402743475227137e-13,5,0.99899949949937417,0.39275880453777962,0.69449763375421614,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
4,no_periodicity,1,QLIKE,0.046202099705807832,0.046198793508607339,0.99992844054227958,-3.3061972004908567e-06,5,0.99899949949937417,-0.085334863415987283,0.93199517560978273,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
4,no_periodicity,5,MSE,8.9839939466628165e-10,8.9760856417776457e-10,0.99911973394771614,-7.9083048851716271e-13,5,0.99099949545900379,-0.7046955716998754,0.48099970774255979,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
4,no_periodicity,5,QLIKE,0.02120196859422193,0.021188227285971483,0.99935188526530538,-1.3741308250446504e-05,5,0.99099949545900379,-0.53135235369561351,0.59517463227059753,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
4,no_periodicity,22,MSE,6.7283173744260605e-10,6.7179972069700036e-10,0.99846615923688686,-1.0320167456057454e-12,21,0.95699947753381764,-0.78980589077788366,0.42964113827176909,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
4,no_periodicity,22,QLIKE,0.01600429760896694,0.015992677762756605,0.9992739546280478,-1.1619846210337848e-05,21,0.95699947753381764,-0.37434390286939334,0.70814847277090009,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
4,u_shaped_periodicity,1,MSE,1.9741671159946174e-09,1.9613682834540676e-09,0.99351684442676902,-1.2798832540549733e-11,5,0.99899949949937417,-0.82833550070364814,0.40748052312731314,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
4,u_shaped_periodicity,1,QLIKE,0.048329667262810731,0.048084359384367448,0.99492427959188445,-0.00024530787844328963,5,0.99899949949937417,-0.81707752192229266,0.41388412766731797,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
4,u_shaped_periodicity,5,MSE,9.0988657173510291e-10,9.0092423682055491e-10,0.99015005255275135,-8.9623349145481645e-12,5,0.99099949545900379,-0.57391728370213935,0.56602377660285375,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
4,u_shaped_periodicity,5,QLIKE,0.021786590555120916,0.021398616126443195,0.9821920539748461,-0.00038797442867771802,5,0.99099949545900379,-1.3646266708856372,0.1723704176682759,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
4,u_shaped_periodicity,22,MSE,6.7999282934504526e-10,6.5427694773442561e-10,0.96218212825069249,-2.5715881610619597e-11,21,0.95699947753381764,-1.0033509288950997,0.31569157149530697,NONE,0,0,0,0,True,500,"Synthetic mechanism check — not empirical SPY evidence, trading evidence, or an exact paper replication."
